gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	taxonomicIssue	nonTaxonomicIssue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	isInvasive	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
4853566548			es	CC_BY_NC_4_0					PhysicalObject	http://grbio.org/institution/universidad-nacional-autonoma-de-mexico-facultad-de-ciencias			FCMM	YUC-CC-255-11	Macrocrustáceos de las playas del Atlántico mexicano		PRESERVED_SPECIMEN				CCY-004179	YUC-CC-255-11-006329		María del Refugio Muciño Reyes	https://orcid.org/0000-0002-2343-8027	2				Adult									PRESENT	Colecta definitiva: Animal completo (ETOH70%)	En colección																				Sisal-MBON2-133-crustáceos	2020-06-30	11:00	182	182	2020	6	30	2020-06-30	zona submareal de la playa	Nucleador	0.005	m3	1 nucleo					América;Norteamérica;México;Yucatán	NORTH_AMERICA	Golfo de México			MX	Yucatán	Hunucmá		Sisal				0.5					21.16837	-90.02595									María del Refugio Muciño Reyes																											María del Refugio Muciño Reyes	https://orcid.org/0000-0002-2343-8027	2021-01-22T00:00:00	Guide to the marine isopod crustaceans of the Caribbean. Kensley & Schotte 2020				urn:lsid:marinespecies.org:taxname:257597							Tylos marcuzzii Giordani Soika, 1954								Animalia	Arthropoda	Malacostraca	Isopoda		Tylidae				Tylos	Tylos			marcuzzii			SPECIES				ACCEPTED			2637deb2-a109-472c-a942-3c220a46deeb	VE	2025-07-31T12:20:36.193Z			0.55	0.45		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH				true	false	2205090	2205090	1	54	229	643	2037	1677544		2205090	Tylos marcuzzii	Tylos marcuzzii Giordani Soika, 1954	Tylos marcuzzii		EML	2025-07-31T12:20:36.193Z	2025-07-25T01:30:18.693Z		true			false	LATIN_AMERICA	LATIN_AMERICA									
4853566547			es	CC_BY_NC_4_0					PhysicalObject	http://grbio.org/institution/universidad-nacional-autonoma-de-mexico-facultad-de-ciencias			FCMM	YUC-CC-255-11	Macrocrustáceos de las playas del Atlántico mexicano		PRESERVED_SPECIMEN				CCY-004299	YUC-CC-255-11-006305		María del Refugio Muciño Reyes	https://orcid.org/0000-0002-2343-8027	1				Adult									PRESENT	Colecta definitiva: Animal completo (ETOH70%)	En colección																				Boca Paila-04-2019-121-crustáceos	2019-04	12:00			2019	4		2019-04-04	zona submareal de la playa	Nucleador	0.005	m3	1 nucleo					América;Norteamérica;México;Quintana Roo	NORTH_AMERICA	Mar Caribe			MX	Quintana Roo	Tulum		Boca Paila				0.5					20.64177	-87.05708									María del Refugio Muciño Reyes																											María del Refugio Muciño Reyes	https://orcid.org/0000-0002-2343-8027	2020-11-23T00:00:00	An illustrated identification guide to the nearshore marine and estuarine gammaridean amphipoda of Florida. LeCroy 2007				urn:lsid:marinespecies.org:taxname:421479							Parhyalella whelpleyi (Shoemaker, 1933)								Animalia	Arthropoda	Malacostraca	Amphipoda		Dogielinotidae				Parhyalella	Parhyalella			whelpleyi			SPECIES				ACCEPTED			2637deb2-a109-472c-a942-3c220a46deeb	VE	2025-07-31T12:20:36.158Z			0.55	0.45		RECORDED_DATE_MISMATCH;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH				true	false	2217652	2217652	1	54	229	1231	4431	2217651		2217652	Parhyalella whelpleyi	Parhyalella whelpleyi (Shoemaker, 1933)	Parhyalella whelpleyi 		EML	2025-07-31T12:20:36.158Z	2025-07-25T01:30:18.693Z		true			false	LATIN_AMERICA	LATIN_AMERICA									
4853566546			es	CC_BY_NC_4_0					PhysicalObject	http://grbio.org/institution/universidad-nacional-autonoma-de-mexico-facultad-de-ciencias			FCMM	YUC-CC-255-11	Macrocrustáceos de las playas del Atlántico mexicano		PRESERVED_SPECIMEN				CCY-004178	YUC-CC-255-11-006328		María del Refugio Muciño Reyes	https://orcid.org/0000-0002-2343-8027	1				Adult									PRESENT	Colecta definitiva: Animal completo (ETOH70%)	En colección																				Sisal-MBON2-132-crustáceos	2020-06-30	11:00	182	182	2020	6	30	2020-06-30	zona submareal de la playa	Nucleador	0.005	m3	1 nucleo					América;Norteamérica;México;Yucatán	NORTH_AMERICA	Golfo de México			MX	Yucatán	Hunucmá		Sisal				0.5					21.16837	-90.02595									María del Refugio Muciño Reyes																											María del Refugio Muciño Reyes	https://orcid.org/0000-0002-2343-8027	2021-01-22T00:00:00	Guide to the marine isopod crustaceans of the Caribbean. Kensley & Schotte 2020				urn:lsid:marinespecies.org:taxname:258413							Excirolana braziliensis Richardson, 1912								Animalia	Arthropoda	Malacostraca	Isopoda		Cirolanidae				Excirolana	Excirolana			braziliensis			SPECIES				ACCEPTED			2637deb2-a109-472c-a942-3c220a46deeb	VE	2025-07-31T12:20:36.158Z			0.55	0.45		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH				true	false	2212910	2212910	1	54	229	643	5347	2212907		2212910	Excirolana braziliensis	Excirolana braziliensis Richardson, 1912	Excirolana braziliensis		EML	2025-07-31T12:20:36.158Z	2025-07-25T01:30:18.693Z		true			false	LATIN_AMERICA	LATIN_AMERICA									
4853566545			es	CC_BY_NC_4_0					PhysicalObject	http://grbio.org/institution/universidad-nacional-autonoma-de-mexico-facultad-de-ciencias			FCMM	YUC-CC-255-11	Macrocrustáceos de las playas del Atlántico mexicano		PRESERVED_SPECIMEN				CCY-004298	YUC-CC-255-11-006304		María del Refugio Muciño Reyes	https://orcid.org/0000-0002-2343-8027	1				Adult									PRESENT	Colecta definitiva: Animal completo (ETOH70%)	En colección																				Boca Paila-04-2019-112-crustáceos	2019-04	12:00			2019	4		2019-04-03	zona intermareal de la playa	Nucleador	0.005	m3	1 nucleo					América;Norteamérica;México;Quintana Roo	NORTH_AMERICA	Mar Caribe			MX	Quintana Roo	Tulum		Boca Paila				0					20.64177	-87.05708									María del Refugio Muciño Reyes																									cf. productatelson		María del Refugio Muciño Reyes	https://orcid.org/0000-0002-2343-8027	2020-11-23T00:00:00	Guide to the marine isopod crustaceans of the Caribbean. Kensley & Schotte 2020				urn:lsid:marinespecies.org:taxname:257034							Exosphaeroma productatelson Menzies & Glynn, 1968								Animalia	Arthropoda	Malacostraca	Isopoda		Sphaeromatidae				Exosphaeroma	Exosphaeroma			productatelson			SPECIES				PROVISIONALLY_ACCEPTED			2637deb2-a109-472c-a942-3c220a46deeb	VE	2025-07-31T12:20:36.109Z			0.0	0.0		RECORDED_DATE_MISMATCH;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH				true	false	2207326	2207326	1	54	229	643	2045	2207284		2207326	Exosphaeroma productatelson	Exosphaeroma productatelson Menzies & Glynn, 1968	Exosphaeroma productatelson		EML	2025-07-31T12:20:36.109Z	2025-07-25T01:30:18.693Z		true			false	LATIN_AMERICA	LATIN_AMERICA									
4853566544			es	CC_BY_NC_4_0					PhysicalObject	http://grbio.org/institution/universidad-nacional-autonoma-de-mexico-facultad-de-ciencias			FCMM	YUC-CC-255-11	Macrocrustáceos de las playas del Atlántico mexicano		PRESERVED_SPECIMEN				CCY-004177	YUC-CC-255-11-006327		María del Refugio Muciño Reyes	https://orcid.org/0000-0002-2343-8027	1				Adult									PRESENT	Colecta definitiva: Animal completo (ETOH70%)	En colección																				Sisal-MBON2-132-crustáceos	2020-06-30	11:00	182	182	2020	6	30	2020-06-30	zona submareal de la playa	Nucleador	0.005	m3	1 nucleo					América;Norteamérica;México;Yucatán	NORTH_AMERICA	Golfo de México			MX	Yucatán	Hunucmá		Sisal				0.5					21.16837	-90.02595									María del Refugio Muciño Reyes																											María del Refugio Muciño Reyes	https://orcid.org/0000-0002-2343-8027	2021-01-22T00:00:00	Guide to the marine isopod crustaceans of the Caribbean. Kensley & Schotte 2020				urn:lsid:marinespecies.org:taxname:257597							Tylos marcuzzii Giordani Soika, 1954								Animalia	Arthropoda	Malacostraca	Isopoda		Tylidae				Tylos	Tylos			marcuzzii			SPECIES				ACCEPTED			2637deb2-a109-472c-a942-3c220a46deeb	VE	2025-07-31T12:20:36.109Z			0.55	0.45		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH				true	false	2205090	2205090	1	54	229	643	2037	1677544		2205090	Tylos marcuzzii	Tylos marcuzzii Giordani Soika, 1954	Tylos marcuzzii		EML	2025-07-31T12:20:36.109Z	2025-07-25T01:30:18.693Z		true			false	LATIN_AMERICA	LATIN_AMERICA									
4853566543			es	CC_BY_NC_4_0					PhysicalObject	http://grbio.org/institution/universidad-nacional-autonoma-de-mexico-facultad-de-ciencias			FCMM	YUC-CC-255-11	Macrocrustáceos de las playas del Atlántico mexicano		PRESERVED_SPECIMEN				CCY-004297	YUC-CC-255-11-006187		María del Refugio Muciño Reyes	https://orcid.org/0000-0002-2343-8027	1				Adult									PRESENT	Colecta definitiva: Animal completo (ETOH70%)	En colección																				Puerto Morelos-04-2019-325-crustaceos	2019-04-02	15:32	92	92	2019	4	2	2019-04-02	zona submareal de la playa	Nucleador	0.005	m3	1 nucleo					América;Norteamérica;México;Quintana Roo	NORTH_AMERICA	Mar Caribe			MX	Quintana Roo	Puerto Morelos		Puerto Morelos				0.5					20.82234	-86.89834									María del Refugio Muciño Reyes																											María del Refugio Muciño Reyes	https://orcid.org/0000-0002-2343-8027	2020-05-13T00:00:00	Guide to the marine isopod crustaceans of the Caribbean. Kensley & Schotte 2020				urn:lsid:marinespecies.org:taxname:118429							Exosphaeroma Stebbing, 1900								Animalia	Arthropoda	Malacostraca	Isopoda		Sphaeromatidae				Exosphaeroma							GENUS				ACCEPTED			2637deb2-a109-472c-a942-3c220a46deeb	VE	2025-07-31T12:20:36.109Z			0.55	0.45		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH				true	false	2207284	2207284	1	54	229	643	2045	2207284				Exosphaeroma Stebbing, 1900	Exosphaeroma		EML	2025-07-31T12:20:36.109Z	2025-07-25T01:30:18.693Z		true			false	LATIN_AMERICA	LATIN_AMERICA	MEX	México	MEX.23_1	Quintana Roo	MEX.23.2_2	Benito Juárez			
4853566542			es	CC_BY_NC_4_0					PhysicalObject	http://grbio.org/institution/universidad-nacional-autonoma-de-mexico-facultad-de-ciencias			FCMM	YUC-CC-255-11	Macrocrustáceos de las playas del Atlántico mexicano		PRESERVED_SPECIMEN				CCY-004176	YUC-CC-255-11-006326		María del Refugio Muciño Reyes	https://orcid.org/0000-0002-2343-8027	1				Adult									PRESENT	Colecta definitiva: Animal completo (ETOH70%)	En colección																				Sisal-MBON2-131-crustáceos	2020-06-30	11:00	182	182	2020	6	30	2020-06-30	zona submareal de la playa	Nucleador	0.005	m3	1 nucleo					América;Norteamérica;México;Yucatán	NORTH_AMERICA	Golfo de México			MX	Yucatán	Hunucmá		Sisal				0.5					21.16837	-90.02595									María del Refugio Muciño Reyes																											María del Refugio Muciño Reyes	https://orcid.org/0000-0002-2343-8027	2021-01-22T00:00:00	Guide to the marine isopod crustaceans of the Caribbean. Kensley & Schotte 2020				urn:lsid:marinespecies.org:taxname:258413							Excirolana braziliensis Richardson, 1912								Animalia	Arthropoda	Malacostraca	Isopoda		Cirolanidae				Excirolana	Excirolana			braziliensis			SPECIES				ACCEPTED			2637deb2-a109-472c-a942-3c220a46deeb	VE	2025-07-31T12:20:36.109Z			0.55	0.45		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH				true	false	2212910	2212910	1	54	229	643	5347	2212907		2212910	Excirolana braziliensis	Excirolana braziliensis Richardson, 1912	Excirolana braziliensis		EML	2025-07-31T12:20:36.109Z	2025-07-25T01:30:18.693Z		true			false	LATIN_AMERICA	LATIN_AMERICA									
4853566541			es	CC_BY_NC_4_0					PhysicalObject	http://grbio.org/institution/universidad-nacional-autonoma-de-mexico-facultad-de-ciencias			FCMM	YUC-CC-255-11	Macrocrustáceos de las playas del Atlántico mexicano		PRESERVED_SPECIMEN				CCY-004296	YUC-CC-255-11-006186		María del Refugio Muciño Reyes	https://orcid.org/0000-0002-2343-8027	1				Adult									PRESENT	Colecta definitiva: Animal completo (ETOH70%)	En colección																				Puerto Morelos-04-2019-325-crustaceos	2019-04-02	15:32	92	92	2019	4	2	2019-04-02	zona submareal de la playa	Nucleador	0.005	m3	1 nucleo					América;Norteamérica;México;Quintana Roo	NORTH_AMERICA	Mar Caribe			MX	Quintana Roo	Puerto Morelos		Puerto Morelos				0.5					20.82234	-86.89834									María del Refugio Muciño Reyes																											María del Refugio Muciño Reyes	https://orcid.org/0000-0002-2343-8027	2020-05-13T00:00:00	Guide to the marine isopod crustaceans of the Caribbean. Kensley & Schotte 2020				urn:lsid:marinespecies.org:taxname:257021							Exosphaeroma diminutum Menzies & Frankenberg, 1966								Animalia	Arthropoda	Malacostraca	Isopoda		Sphaeromatidae				Exosphaeroma	Exosphaeroma			diminutum			SPECIES				ACCEPTED			2637deb2-a109-472c-a942-3c220a46deeb	VE	2025-07-31T12:20:36.109Z			0.55	0.45		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH				true	false	2207321	2207321	1	54	229	643	2045	2207284		2207321	Exosphaeroma diminutum	Exosphaeroma diminutum Menzies & Frankenberg, 1966	Exosphaeroma diminutum		EML	2025-07-31T12:20:36.109Z	2025-07-25T01:30:18.693Z		true			false	LATIN_AMERICA	LATIN_AMERICA	MEX	México	MEX.23_1	Quintana Roo	MEX.23.2_2	Benito Juárez			
4853566540			es	CC_BY_NC_4_0					PhysicalObject	http://grbio.org/institution/universidad-nacional-autonoma-de-mexico-facultad-de-ciencias			FCMM	YUC-CC-255-11	Macrocrustáceos de las playas del Atlántico mexicano		PRESERVED_SPECIMEN				CCY-004175	YUC-CC-255-11-006325		María del Refugio Muciño Reyes	https://orcid.org/0000-0002-2343-8027	1				Adult									PRESENT	Colecta definitiva: Animal completo (ETOH70%)	En colección																				Sisal-MBON2-131-crustáceos	2020-06-30	11:00	182	182	2020	6	30	2020-06-30	zona submareal de la playa	Nucleador	0.005	m3	1 nucleo					América;Norteamérica;México;Yucatán	NORTH_AMERICA	Golfo de México			MX	Yucatán	Hunucmá		Sisal				0.5					21.16837	-90.02595									María del Refugio Muciño Reyes																											María del Refugio Muciño Reyes	https://orcid.org/0000-0002-2343-8027	2021-01-22T00:00:00	Guide to the marine isopod crustaceans of the Caribbean. Kensley & Schotte 2020				urn:lsid:marinespecies.org:taxname:257597							Tylos marcuzzii Giordani Soika, 1954								Animalia	Arthropoda	Malacostraca	Isopoda		Tylidae				Tylos	Tylos			marcuzzii			SPECIES				ACCEPTED			2637deb2-a109-472c-a942-3c220a46deeb	VE	2025-07-31T12:20:36.108Z			0.55	0.45		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH				true	false	2205090	2205090	1	54	229	643	2037	1677544		2205090	Tylos marcuzzii	Tylos marcuzzii Giordani Soika, 1954	Tylos marcuzzii		EML	2025-07-31T12:20:36.108Z	2025-07-25T01:30:18.693Z		true			false	LATIN_AMERICA	LATIN_AMERICA									
4853566539			es	CC_BY_NC_4_0					PhysicalObject	http://grbio.org/institution/universidad-nacional-autonoma-de-mexico-facultad-de-ciencias			FCMM	YUC-CC-255-11	Macrocrustáceos de las playas del Atlántico mexicano		PRESERVED_SPECIMEN				CCY-004295	YUC-CC-255-11-006185		María del Refugio Muciño Reyes	https://orcid.org/0000-0002-2343-8027	1				Adult									PRESENT	Colecta definitiva: Animal completo (ETOH70%)	En colección																				Puerto Morelos-04-2019-321-crustaceos	2019-04-02	15:32	92	92	2019	4	2	2019-04-02	zona submareal de la playa	Nucleador	0.005	m3	1 nucleo					América;Norteamérica;México;Quintana Roo	NORTH_AMERICA	Mar Caribe			MX	Quintana Roo	Puerto Morelos		Puerto Morelos				0.5					20.82234	-86.89834									María del Refugio Muciño Reyes																											María del Refugio Muciño Reyes	https://orcid.org/0000-0002-2343-8027	2020-05-13T00:00:00	Guide to the marine isopod crustaceans of the Caribbean. Kensley & Schotte 2020				urn:lsid:marinespecies.org:taxname:118429							Exosphaeroma Stebbing, 1900								Animalia	Arthropoda	Malacostraca	Isopoda		Sphaeromatidae				Exosphaeroma							GENUS				ACCEPTED			2637deb2-a109-472c-a942-3c220a46deeb	VE	2025-07-31T12:20:36.010Z			0.55	0.45		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH				true	false	2207284	2207284	1	54	229	643	2045	2207284				Exosphaeroma Stebbing, 1900	Exosphaeroma		EML	2025-07-31T12:20:36.010Z	2025-07-25T01:30:18.693Z		true			false	LATIN_AMERICA	LATIN_AMERICA	MEX	México	MEX.23_1	Quintana Roo	MEX.23.2_2	Benito Juárez			
