gbifID,occurrenceID,scientificName,verbatimScientificName,individualCount,depth,locality,habitat,month,year
4853566548,CCY-004179,"Tylos marcuzzii Giordani Soika, 1954",Tylos marcuzzii,2,0.55,Sisal,zona submareal de la playa,6,2020
4853566547,CCY-004299,"Parhyalella whelpleyi (Shoemaker, 1933)",Parhyalella whelpleyi ,1,0.55,Boca Paila,zona submareal de la playa,4,2019
4853566546,CCY-004178,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,1,0.55,Sisal,zona submareal de la playa,6,2020
4853566545,CCY-004298,"Exosphaeroma productatelson Menzies & Glynn, 1968",Exosphaeroma productatelson,1,0,Boca Paila,zona intermareal de la playa,4,2019
4853566544,CCY-004177,"Tylos marcuzzii Giordani Soika, 1954",Tylos marcuzzii,1,0.55,Sisal,zona submareal de la playa,6,2020
4853566543,CCY-004297,"Exosphaeroma Stebbing, 1900",Exosphaeroma,1,0.55,Puerto Morelos,zona submareal de la playa,4,2019
4853566542,CCY-004176,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,1,0.55,Sisal,zona submareal de la playa,6,2020
4853566541,CCY-004296,"Exosphaeroma diminutum Menzies & Frankenberg, 1966",Exosphaeroma diminutum,1,0.55,Puerto Morelos,zona submareal de la playa,4,2019
4853566540,CCY-004175,"Tylos marcuzzii Giordani Soika, 1954",Tylos marcuzzii,1,0.55,Sisal,zona submareal de la playa,6,2020
4853566539,CCY-004295,"Exosphaeroma Stebbing, 1900",Exosphaeroma,1,0.55,Puerto Morelos,zona submareal de la playa,4,2019
4853566538,CCY-004174,"Excirolana mayana (Ives, 1891)",Excirolana mayana,3,0,Sisal,zona intermareal de la playa,6,2020
4853566537,CCY-004294,"Carida Rafinesque, 1814",Caridea,1,0.55,Puerto Morelos,zona submareal de la playa,4,2019
4853566536,CCY-004173,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,3,0,Sisal,zona intermareal de la playa,6,2020
4853566535,CCY-004293,"Excirolana mayana (Ives, 1891)",Excirolana mayana,1,0,Puerto Morelos,zona intermareal de la playa,4,2019
4853566534,CCY-004172,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,1,0,Sisal,zona intermareal de la playa,6,2020
4853566533,CCY-004292,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,6,0,Puerto Morelos,zona intermareal de la playa,4,2019
4853566532,CCY-004171,"Excirolana mayana (Ives, 1891)",Excirolana mayana,5,0,Sisal,zona intermareal de la playa,6,2020
4853566531,CCY-004291,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,1,0,Puerto Morelos,zona intermareal de la playa,4,2019
4853566530,CCY-004170,"Excirolana mayana (Ives, 1891)",Excirolana mayana,1,0,Sisal,zona supramareal de la playa,6,2020
4853566529,CCY-004290,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,4,0,Playa Mujeres,zona intermareal de la playa,4,2019
4853566528,CCY-004169,"Sphaeroma walkeri Stebbing, 1905",Sphaeroma walkeri,2,0.55,Sisal,zona submareal de la playa,6,2020
4853566527,CCY-004289,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,2,0,Playa Mujeres,zona intermareal de la playa,4,2019
4853566526,CCY-004168,"Excorallana Stebbing, 1904",Excorallana,1,0.55,Sisal,zona submareal de la playa,6,2020
4853566525,CCY-004288,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,2,0,Playa Mujeres,zona intermareal de la playa,4,2019
4853566524,CCY-004167,"Excirolana mayana (Ives, 1891)",Excirolana mayana,2,0,Sisal,zona intermareal de la playa,6,2020
4853566523,CCY-004287,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,4,0,Playa Mujeres,zona intermareal de la playa,4,2019
4853566522,CCY-004166,"Excirolana mayana (Ives, 1891)",Excirolana mayana,2,0,Sisal,zona intermareal de la playa,6,2020
4853566521,CCY-004286,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,3,0,Playa Mujeres,zona intermareal de la playa,4,2019
4853566520,CCY-004165,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,2,0,Sisal,zona intermareal de la playa,6,2020
4853566519,CCY-004285,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,3,0,Playa Mujeres,zona intermareal de la playa,4,2019
4853566518,CCY-004164,"Excirolana mayana (Ives, 1891)",Excirolana mayana,2,0,Sisal,zona intermareal de la playa,6,2020
4853566517,CCY-004284,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,6,0,Playa Mujeres,zona intermareal de la playa,4,2019
4853566516,CCY-004163,"Excirolana mayana (Ives, 1891)",Excirolana mayana,1,0,Sisal,zona intermareal de la playa,6,2020
4853566515,CCY-004283,"Tylos marcuzzii Giordani Soika, 1954",Tylos marcuzzii,1,0,Playa Mujeres,zona intermareal de la playa,4,2019
4853566514,CCY-004162,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,9,0,Sisal,zona intermareal de la playa,6,2020
4853566513,CCY-004282,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,7,0,Playa Mujeres,zona intermareal de la playa,4,2019
4853566512,CCY-004161,"Excirolana mayana (Ives, 1891)",Excirolana mayana,5,0,Sisal,zona intermareal de la playa,6,2020
4853566511,CCY-004281,"Tylos marcuzzii Giordani Soika, 1954",Tylos marcuzzii,3,0,Playa Mujeres,zona intermareal de la playa,4,2019
4853566510,CCY-004160,"Excirolana mayana (Ives, 1891)",Excirolana mayana,5,0,Sisal,zona intermareal de la playa,6,2020
4853566509,CCY-004280,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,5,0,Playa Mujeres,zona intermareal de la playa,4,2019
4853566508,CCY-004159,"Excirolana mayana (Ives, 1891)",Excirolana mayana,4,0,Sisal,zona intermareal de la playa,6,2020
4853566507,CCY-004279,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,4,0,Playa Mujeres,zona intermareal de la playa,4,2019
4853566506,CCY-004158,"Excirolana mayana (Ives, 1891)",Excirolana mayana,5,0,Sisal,zona intermareal de la playa,6,2020
4853566505,CCY-004278,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,6,0,Playa Mujeres,zona intermareal de la playa,4,2019
4853566504,CCY-004157,"Excirolana mayana (Ives, 1891)",Excirolana mayana,2,0,Sisal,zona intermareal de la playa,6,2020
4853566503,CCY-004277,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,6,0,Playa Mujeres,zona intermareal de la playa,4,2019
4853566502,CCY-004156,"Excirolana mayana (Ives, 1891)",Excirolana mayana,1,0,Sisal,zona intermareal de la playa,6,2020
4853566501,CCY-004276,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,6,0,Playa Mujeres,zona intermareal de la playa,4,2019
4853566500,CCY-004155,"Excirolana mayana (Ives, 1891)",Excirolana mayana,2,0,Sisal,zona intermareal de la playa,6,2020
4853566499,CCY-004275,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,1,0,Playa Mujeres,zona intermareal de la playa,4,2019
4853566498,CCY-004154,"Excirolana mayana (Ives, 1891)",Excirolana mayana,5,0,Sisal,zona intermareal de la playa,6,2020
4853566497,CCY-004274,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,1,0,Playa Mujeres,zona intermareal de la playa,4,2019
4853566496,CCY-004153,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,2,0,Sisal,zona intermareal de la playa,6,2020
4853566495,CCY-004273,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,13,0,Playa Mujeres,zona intermareal de la playa,4,2019
4853566494,CCY-004152,"Excirolana mayana (Ives, 1891)",Excirolana mayana,1,0,Sisal,zona intermareal de la playa,6,2020
4853566493,CCY-004272,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,10,0,Playa Mujeres,zona intermareal de la playa,4,2019
4853566492,CCY-004151,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,5,0,Sisal,zona intermareal de la playa,6,2020
4853566491,CCY-004271,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,2,0,Playa Mujeres,zona intermareal de la playa,4,2019
4853566490,CCY-004150,"Excirolana mayana (Ives, 1891)",Excirolana mayana,4,0,Sisal,zona intermareal de la playa,6,2020
4853566489,CCY-004270,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,2,0,Playa Mujeres,zona intermareal de la playa,4,2019
4853566488,CCY-004149,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,2,0,Sisal,zona intermareal de la playa,6,2020
4853566487,CCY-004269,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,17,0,Playa Mujeres,zona intermareal de la playa,4,2019
4853566486,CCY-004148,"Excirolana mayana (Ives, 1891)",Excirolana mayana,2,0,Sisal,zona intermareal de la playa,6,2020
4853566485,CCY-004268,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,8,0,Playa Mujeres,zona intermareal de la playa,4,2019
